agency,district,category,total19,total20,total21,last12mos
LASD,Community College Bureau,Homicide,0,0,0,1
LASD,County Services Bur,Homicide,1,0,0,0
LASD,Men's Central Jail,Homicide,0,2,0,1
LASD,Transit Serv Bur,Homicide,0,0,1,1
LASD,Ttcf,Homicide,0,1,0,1
LASD,Admin,Larceny,0,2,2,0
LASD,Community College Bureau,Larceny,187,57,49,115
LASD,Community Oriented Policing Svcs,Larceny,0,0,1,0
LASD,County Services Bur,Larceny,124,90,95,110
LASD,Crdf,Larceny,4,2,4,2
LASD,East,Larceny,1,5,1,0
LASD,Fraud & Cyber Crimes Bureau,Larceny,30,26,23,18
LASD,Human Trafficking Task Force,Larceny,0,1,0,6
LASD,Inmate Reception Centr,Larceny,0,1,0,1
LASD,Los Angeles County Sheriff Dept,Larceny,0,1,0,0
LASD,Major Crimes Bureau,Larceny,1,0,0,0
LASD,Men's Central Jail,Larceny,18,24,9,8
LASD,Metrolink Bureau,Larceny,19,9,9,14
LASD,Narcotics Bureau,Larceny,7,5,4,1
LASD,North County Correctional Fac.,Larceny,8,2,1,2
LASD,Parks Bureau,Larceny,22,29,30,33
LASD,Pdc - North,Larceny,0,1,2,0
LASD,Pdc - South,Larceny,2,1,0,0
LASD,Special Enforcement (Seb),Larceny,0,0,1,0
LASD,Transit Serv Bur,Larceny,137,101,96,131
LASD,Trap,Larceny,18,11,9,7
LASD,Ttcf,Larceny,9,4,2,2
LASD,West,Larceny,6,2,2,2
LASD,Admin,Other or Part 2,158,73,115,123
LASD,Community College Bureau,Other or Part 2,180,87,74,104
LASD,Community Oriented Policing Svcs,Other or Part 2,42,34,8,16
LASD,County Services Bur,Other or Part 2,244,255,243,212
LASD,Court Services Transportation Bureau,Other or Part 2,45,19,23,26
LASD,Crdf,Other or Part 2,430,428,322,395
LASD,Custody Operations,Other or Part 2,2,4,10,2
LASD,East,Other or Part 2,84,40,62,59
LASD,Fraud & Cyber Crimes Bureau,Other or Part 2,34,38,30,22
LASD,Homicide Bureau,Other or Part 2,0,0,1,0
