place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,inc_19to22,inc_10to22,rate22
Unincorporated Temple^Area policed by LASD^,126,106,134,116,102,142,140,131,113,70,129,147,119,70,-5.6,208.4
Diamond Bar^Area policed by LASD^,78,51,73,66,59,97,72,70,55,52,85,97,99,90.4,26.9,179.7
Walnut^Area policed by LASD^,40,36,32,97,18,22,31,32,38,27,25,30,145,437,262.5,510.6
Unincorporated Walnut/Diamond Bar^Area policed by LASD^,112,96,77,36,73,72,92,88,82,89,153,176,43,-51.7,-61.6,81.6
West Hollywood^Area policed by LASD^,133,122,118,100,86,93,146,104,98,117,102,158,178,52.1,33.8,495.8
Unincorporated West Hollywood^Area policed by LASD^,5,1,5,2,2,1,2,1,2,1,0,1,2,100,-60,166.7
Alhambra,270,217,255,234,224,211,238,270,256,187,239,300,340,81.8,25.9,410.1
Arcadia,106,85,74,62,44,64,77,92,79,74,73,96,116,56.8,9.4,205.3
Azusa,129,130,161,171,130,196,183,223,185,139,208,189,181,30.2,40.3,364.2
Baldwin Park,506,403,389,363,316,331,340,327,303,308,276,254,284,-7.8,-43.9,394.4
Bell,140,172,91,77,144,135,156,151,109,90,117,146,106,17.8,-24.3,316.4
Bell Gardens,399,348,309,271,270,299,329,320,242,218,265,271,175,-19.7,-56.1,441.9
Beverly Hills,45,30,33,41,46,72,73,99,70,45,89,99,110,144.4,144.4,335.4
Burbank,276,234,199,219,182,223,266,245,214,211,301,333,295,39.8,6.9,274.9
Claremont,51,42,63,68,41,62,63,68,57,31,72,77,84,171,64.7,225.2
Covina,194,152,188,157,134,138,164,185,173,171,165,150,162,-5.3,-16.5,316.4
Culver City,124,107,102,115,109,107,157,108,93,95,166,257,266,180,114.5,652
Downey,928,1053,959,846,792,792,766,765,606,563,694,1061,997,77.1,7.4,871.5
El Monte,797,606,578,576,583,680,688,698,504,394,455,520,524,33,-34.3,479.4
El Segundo,40,51,50,52,72,48,73,81,64,74,157,148,144,94.6,260,770.1
Gardena,340,269,308,307,269,359,355,362,315,308,470,627,619,101,82.1,1014.8
Glendale,328,323,309,251,268,353,363,317,266,263,433,493,413,57,25.9,210.2
Glendora,75,56,73,71,81,60,72,105,122,73,102,119,90,23.3,20,172.4
Hawthorne,435,390,468,386,460,535,574,515,347,356,513,612,587,64.9,34.9,677.8
Hermosa Beach,23,25,46,35,32,41,30,48,31,26,54,45,66,153.8,187,335
Huntington Park,644,763,658,589,594,796,678,704,590,520,648,731,751,44.4,16.6,1367.9
Inglewood,703,555,638,640,697,683,790,802,658,657,889,1243,1102,67.7,56.8,1022.3
Irwindale,22,27,41,44,30,19,38,35,35,28,26,46,54,92.9,145.5,3176.5
La Verne,36,31,44,47,45,48,31,66,75,47,63,40,52,10.6,44.4,166.7
Long Beach,2189,2212,2630,2355,2081,2830,2859,2729,2279,2358,2780,3404,2579,9.4,17.8,553.1
Manhattan Beach,50,33,41,36,51,44,53,71,47,43,91,116,107,148.8,114,301.4
Monrovia,125,79,114,86,70,95,76,83,70,72,123,89,105,45.8,-16,276.3
Montebello,480,400,435,496,380,503,548,460,476,388,457,425,607,56.4,26.5,968.1
Monterey Park,226,191,222,209,164,243,246,219,216,159,237,256,291,83,28.8,476.3
Palos Verdes Estates,3,7,8,4,5,9,7,5,2,3,6,19,11,266.7,266.7,82.7
Pasadena,378,281,250,287,230,323,324,359,306,260,352,368,334,28.5,-11.6,240.6
Pomona,1231,973,1110,956,1040,1256,1183,1250,1030,863,1085,1265,979,13.4,-20.5,645.4
Redondo Beach,103,80,107,133,121,165,160,170,132,118,196,197,173,46.6,68,241.6
San Fernando,87,61,90,72,62,120,120,91,99,79,88,110,96,21.5,10.3,401.7
San Gabriel,60,48,61,56,42,86,57,60,66,45,56,101,NA,NA,NA,NA
San Marino,2,2,4,1,6,12,7,2,1,5,9,7,18,260,800,144
Santa Monica,166,188,178,165,177,221,236,264,235,244,391,417,569,133.2,242.8,611.8
Sierra Madre,2,4,6,6,5,10,8,4,2,4,9,7,7,75,250,61.9
Signal Hill,67,60,87,80,64,90,113,135,112,77,133,146,207,168.8,209,1754.2
South Gate,824,1181,918,913,827,1051,999,933,645,740,870,999,901,21.8,9.3,973
South Pasadena,54,58,48,51,32,31,58,59,59,38,92,64,72,89.5,33.3,267.7
Torrance,335,301,338,362,257,317,437,436,283,293,497,610,724,147.1,116.1,492.5
Vernon,82,95,86,106,84,89,125,135,106,80,208,192,174,117.5,112.2,NA
West Covina,594,511,543,501,425,487,498,410,393,355,361,426,408,14.9,-31.3,373.3
Santa Fe Springs,178,160,210,241,132,216,180,177,164,176,209,310,340,93.2,91,1761.7
Whittier,286,254,295,253,306,415,390,313,331,305,312,397,409,34.1,43,468.5
