place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
Hidden Hills^Area policed by LASD^,0,0,0,0,0,0,1,0,0,1,0,1,0,NA,58.8
Malibu^Area policed by LASD^,1,2,4,3,6,8,6,8,9,5,9,8,60,700,75.5
Westlake Village^Area policed by LASD^,0,0,1,1,5,2,4,1,0,5,1,3,-40,NA,37.5
Unincorporated Malibu/Lost Hills^Area policed by LASD^,1,3,1,2,3,9,7,7,9,9,5,5,-44.4,400,22.1
Unincorporated Marina Del Rey^Area policed by LASD^,1,5,3,2,8,9,11,17,7,7,13,9,28.6,800,29.8
La Mirada^Area policed by LASD^,3,3,5,10,4,10,9,7,6,6,6,12,100,300,25
Norwalk^Area policed by LASD^,14,10,14,16,13,33,20,17,23,21,22,22,4.8,57.1,21.4
Unincorporated Norwalk^Area policed by LASD^,10,6,10,11,9,12,9,12,15,19,13,19,0,90,28.4
Palmdale^Area policed by LASD^,41,39,39,28,40,49,47,37,43,55,51,63,14.5,53.7,37.2
Unincorporated Palmdale^Area policed by LASD^,7,3,5,6,11,11,13,8,13,14,16,15,7.1,114.3,34.1
Pico Rivera^Area policed by LASD^,15,11,9,8,9,16,13,19,9,16,17,11,-31.2,-26.7,17.7
Unincorporated Pico Rivera^Area policed by LASD^,5,8,1,2,6,9,12,9,6,9,7,6,-33.3,20,19.5
San Dimas^Area policed by LASD^,4,4,2,6,2,8,16,5,11,15,8,14,-6.7,250,40.1
Unincorporated San Dimas^Area policed by LASD^,4,8,6,7,10,14,13,20,15,21,17,17,-19,325,35.6
Santa Clarita^Area policed by LASD^,21,18,31,19,17,38,45,40,43,49,42,45,-8.2,114.3,21.3
Unincorporated Santa Clarita Valley^Area policed by LASD^,10,6,11,6,5,15,10,17,21,12,11,13,8.3,30,16.8
Lawndale^Area policed by LASD^,10,7,4,9,6,9,9,3,10,6,6,7,16.7,-30,22.1
Unincorporated South Los Angeles^Area policed by LASD^,25,22,27,22,31,47,40,29,26,32,32,12,-62.5,-52,14.1
Bradbury^Area policed by LASD^,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Duarte^Area policed by LASD^,4,5,5,2,3,3,0,2,5,2,4,6,200,50,27.6
Rosemead^Area policed by LASD^,10,13,4,6,7,9,10,12,12,11,10,14,27.3,40,27.4
South El Monte^Area policed by LASD^,4,6,3,4,4,6,6,4,7,11,9,6,-45.5,50,30.5
Temple City^Area policed by LASD^,8,2,2,6,2,10,5,3,7,7,3,5,-28.6,-37.5,13.7
Unincorporated Temple^Area policed by LASD^,12,4,4,9,9,11,7,15,9,11,13,14,27.3,16.7,24.5
Diamond Bar^Area policed by LASD^,4,6,1,3,6,4,4,5,7,4,7,5,25,25,9.1
Walnut^Area policed by LASD^,3,3,2,3,2,1,2,12,4,4,1,5,25,66.7,17.6
Unincorporated Walnut/Diamond Bar^Area policed by LASD^,4,3,3,1,5,8,11,8,18,11,14,14,27.3,250,26.6
West Hollywood^Area policed by LASD^,12,19,12,14,7,21,27,29,40,24,28,24,0,100,66.9
Unincorporated West Hollywood^Area policed by LASD^,2,1,0,0,0,2,1,2,0,0,0,0,NA,-100,0
Alhambra,8,7,2,9,19,13,9,17,14,11,11,12,9.1,50,14.5
Arcadia,5,5,1,1,7,6,4,7,8,10,6,11,10,120,19.5
Azusa,11,14,6,4,12,13,18,16,25,17,7,10,-41.2,-9.1,20.1
Baldwin Park,8,9,5,6,7,34,31,26,35,24,8,19,-20.8,137.5,26.4
Bell,12,14,9,10,19,17,11,17,10,11,12,15,36.4,25,44.8
Bell Gardens,5,5,2,3,7,6,7,5,6,4,8,3,-25,-40,7.6
Beverly Hills,4,2,7,5,7,9,14,10,14,6,6,14,133.3,250,42.7
Burbank,13,17,24,13,14,10,24,20,18,11,12,9,-18.2,-30.8,8.4
Claremont,5,1,5,2,4,12,3,9,15,6,10,17,183.3,240,45.6
Covina,7,10,13,9,5,8,23,22,28,25,18,16,-36,128.6,31.2
Culver City,4,6,6,7,6,4,3,1,6,2,5,13,550,225,31.9
Downey,17,23,20,12,15,23,22,23,14,30,23,39,30,129.4,34.1
El Monte,27,33,14,14,20,21,31,43,35,34,40,34,0,25.9,31.1
El Segundo,5,4,1,0,4,1,4,4,11,5,11,4,-20,-20,21.4
Gardena,9,11,13,16,10,24,24,16,16,20,18,14,-30,55.6,23
Glendale,17,14,6,8,9,17,38,32,24,16,14,15,-6.2,-11.8,7.6
Glendora,9,7,8,7,11,6,4,15,23,21,15,8,-61.9,-11.1,15.3
Hawthorne,33,25,26,32,25,35,40,25,37,34,25,45,32.4,36.4,52
Hermosa Beach,6,7,9,4,7,7,10,4,3,7,5,7,0,16.7,35.5
Huntington Park,4,10,9,6,17,35,28,42,38,31,25,31,0,675,56.5
Inglewood,32,33,27,29,32,44,56,46,51,51,43,34,-33.3,6.2,31.5
Irwindale,0,2,0,1,0,0,1,0,0,1,2,0,-100,NA,0
La Verne,4,1,8,1,14,29,11,11,18,6,8,11,83.3,175,35.3
Long Beach,134,112,115,103,110,177,197,203,219,249,242,256,2.8,91,54.9
Manhattan Beach,6,6,7,5,2,8,8,11,8,5,4,7,40,16.7,19.7
Monrovia,3,1,2,1,2,4,8,12,10,9,4,5,-44.4,66.7,13.2
Montebello,10,6,4,11,4,6,7,9,10,11,10,19,72.7,90,30.3
Monterey Park,0,1,1,8,4,6,8,10,4,7,11,3,-57.1,NA,4.9
Palos Verdes Estates,0,1,1,1,0,1,0,1,1,0,0,3,NA,NA,22.6
Pasadena,21,26,21,25,23,57,46,51,47,46,51,47,2.2,123.8,33.9
Pomona,37,54,63,31,44,72,68,88,76,101,95,110,8.9,197.3,72.5
Redondo Beach,1,3,6,4,9,19,8,18,14,5,13,17,240,1600,23.7
San Fernando,0,3,2,2,4,4,8,9,3,4,1,5,25,NA,20.9
San Gabriel,2,2,3,5,7,4,6,3,9,2,8,4,100,100,10.1
San Marino,0,2,0,2,0,1,1,0,1,1,1,0,-100,NA,0
Santa Monica,12,24,23,27,30,42,40,54,60,40,38,28,-30,133.3,30.1
Sierra Madre,0,1,0,1,2,1,3,1,0,1,0,1,0,NA,8.8
Signal Hill,3,3,3,2,2,6,9,5,10,1,5,3,200,0,25.4
South Gate,13,10,15,15,13,24,29,41,34,21,19,31,47.6,138.5,33.5
South Pasadena,8,6,6,3,4,3,7,2,2,2,4,2,0,-75,7.4
Torrance,19,17,17,16,18,34,28,36,35,26,44,32,23.1,68.4,21.8
Vernon,1,0,1,0,1,1,1,0,1,1,3,2,100,100,NA
West Covina,19,20,11,2,4,13,18,31,25,21,24,27,28.6,42.1,24.7
Santa Fe Springs,1,6,3,3,0,4,8,4,6,10,3,3,-70,200,15.5
Whittier,20,7,10,17,15,18,21,15,23,27,20,19,-29.6,-5,21.8
