rate_prior4years,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,inc_19to22,inc_10to22,rate22
131.9,67,43,89,26,89,58,68,40,53,60,81,116,21,-65,-68.7,39.8
385.8,217,194,194,134,167,170,128,102,131,131,94,149,180,37.4,-17.1,501.4
233.3,17,13,6,17,18,9,14,14,6,4,1,4,2,-50,-88.2,166.7
96.5,92,87,81,72,65,80,64,62,88,59,94,92,75,27.1,-18.5,90.5
108,46,38,34,39,28,30,33,47,26,38,59,70,77,102.6,67.4,136.3
176.1,150,176,172,204,123,109,110,86,102,76,96,98,80,5.3,-46.7,161
222.2,141,142,181,135,154,187,182,230,178,113,115,182,230,103.5,63.1,319.4
409,138,176,120,117,124,133,160,133,126,120,134,150,144,20,4.3,429.9
215.2,88,79,53,60,58,80,81,46,56,74,77,99,91,23,3.4,229.8
198.2,33,21,46,43,59,49,43,58,50,44,57,70,89,102.3,169.7,271.3
137,110,105,106,107,80,98,136,147,134,123,113,136,216,75.6,96.4,201.3
91.2,18,12,16,12,19,36,28,35,31,22,18,22,74,236.4,311.1,198.4
195.3,86,88,81,77,57,66,92,97,91,101,91,115,93,-7.9,8.1,181.6
305.1,51,64,77,66,92,74,73,51,73,78,123,143,154,97.4,202,377.5
173.1,172,161,165,136,136,132,162,174,163,167,169,190,266,59.3,54.7,232.5
168.2,305,191,174,168,147,228,247,220,172,142,177,202,214,50.7,-29.8,195.8
359.4,12,19,22,18,29,17,24,14,29,47,72,85,65,38.3,441.7,347.6
316.4,134,129,107,85,101,122,151,155,143,170,142,226,234,37.6,74.6,383.6
56.7,141,136,119,97,110,98,104,112,100,117,102,92,135,15.4,-4.3,68.7
161.3,29,23,24,26,40,24,50,81,73,95,66,86,90,-5.3,210.3,172.4
528.9,330,291,297,243,291,341,309,282,348,409,480,542,401,-2,21.5,463
177.7,15,38,27,17,19,25,22,17,22,35,30,35,40,14.3,166.7,203
317.3,155,159,117,155,168,173,217,184,175,175,184,159,179,2.3,15.5,326
315.6,410,419,366,370,360,366,352,337,305,260,358,423,320,23.1,-22,296.8
1176.5,13,20,10,15,13,18,11,4,6,17,12,34,17,0,30.8,1000
90.4,34,49,27,15,18,21,20,54,58,31,25,27,30,-3.2,-11.8,96.2
295.6,1352,1400,1319,1091,1282,1499,1478,1639,2056,1128,1344,1541,1501,33.1,11,321.9
59.7,20,28,26,25,15,26,13,24,21,17,17,17,34,100,70,95.8
124.2,43,40,43,33,22,22,33,26,26,17,38,68,66,288.2,53.5,173.7
207.3,109,70,72,89,56,76,93,110,93,77,107,120,216,180.5,98.2,344.5
97.4,36,40,28,36,45,40,63,46,47,60,49,51,78,30,116.7,127.7
18.8,4,3,5,5,5,2,3,0,1,3,3,1,3,0,-25,22.6
230.2,341,220,235,244,235,236,265,313,319,416,238,265,359,-13.7,5.3,258.6
311.1,501,523,564,454,474,419,391,403,423,485,401,480,522,7.6,4.2,344.1
196.2,140,111,129,112,105,94,93,96,100,101,100,168,193,91.1,37.9,269.6
216.7,39,64,47,55,45,58,85,74,62,50,57,47,53,6,35.9,221.8
NA,46,64,51,66,46,44,54,70,76,38,45,34,NA,NA,NA,NA
57.6,12,6,10,15,2,12,7,8,8,10,9,7,3,-70,-75,24
436.8,212,215,219,170,188,230,244,407,452,374,335,425,491,31.3,131.6,528
99.1,10,8,3,11,11,7,19,6,7,14,11,12,8,-42.9,-20,70.8
474.6,20,16,24,16,16,20,31,23,39,67,65,37,55,-17.9,175,466.1
399,252,295,264,256,275,336,376,404,407,418,441,356,263,-37.1,4.4,284
57.6,4,13,8,10,15,5,10,6,11,16,5,7,34,112.5,750,126.4
104.9,115,75,77,94,62,93,110,115,123,137,122,162,196,43.1,70.4,133.3
NA,7,13,9,9,14,14,8,15,12,14,17,21,25,78.6,257.1,NA
157.2,179,135,160,122,133,149,133,100,116,104,109,207,267,156.7,49.2,244.3
292.7,32,55,52,44,32,38,65,54,59,51,56,50,69,35.3,115.6,357.5
137.7,225,223,156,130,124,129,138,143,110,92,131,111,147,59.8,-34.7,168.4
