place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
South El Monte^Area policed by LASD^,3,0,2,1,1,6,2,2,1,1,0,0,-100,-100,0
Temple City^Area policed by LASD^,0,0,0,1,0,1,1,2,0,1,1,0,-100,NA,0
Unincorporated Temple^Area policed by LASD^,3,4,2,2,0,4,2,4,-1,1,1,1,0,-66.7,1.8
Diamond Bar^Area policed by LASD^,0,2,0,0,0,1,2,0,2,1,0,2,100,NA,3.6
Walnut^Area policed by LASD^,0,1,0,1,1,1,2,0,0,0,1,0,NA,NA,0
Unincorporated Walnut/Diamond Bar^Area policed by LASD^,2,0,0,0,0,6,1,0,0,0,1,3,NA,50,5.7
West Hollywood^Area policed by LASD^,5,0,0,0,1,2,2,1,3,0,0,2,NA,-60,5.6
Unincorporated West Hollywood^Area policed by LASD^,0,0,0,0,0,0,0,0,0,1,0,2,100,NA,166.7
Alhambra,3,1,0,1,1,1,0,4,3,2,3,3,50,0,3.6
Arcadia,1,1,0,0,1,1,2,0,1,1,2,1,0,0,1.8
Azusa,2,0,1,2,0,2,1,1,3,5,0,0,-100,-100,0
Baldwin Park,2,1,2,5,2,1,5,3,3,1,2,1,0,-50,1.4
Bell,1,0,1,0,1,1,5,0,3,0,2,1,NA,0,3
Bell Gardens,5,8,3,1,2,0,3,2,2,0,2,2,NA,-60,5.1
Beverly Hills,3,1,1,0,0,1,0,0,0,1,0,1,0,-66.7,3
Burbank,0,1,2,0,1,1,0,0,0,1,1,2,100,NA,1.9
Claremont,0,0,0,0,0,1,0,0,1,0,1,2,NA,NA,5.4
Covina,1,1,2,0,0,1,1,2,2,2,1,4,100,300,7.8
Culver City,0,2,0,0,1,0,0,0,0,0,0,0,NA,NA,0
Downey,6,2,6,7,3,7,1,3,5,4,2,4,0,-33.3,3.5
El Monte,3,1,4,3,2,8,3,5,6,2,9,7,250,133.3,6.4
El Segundo,0,0,0,0,0,1,0,1,0,0,0,0,NA,NA,0
Gardena,2,2,0,0,1,6,3,4,7,3,5,6,100,200,9.8
Glendale,0,0,0,1,0,5,1,3,1,5,3,1,-80,NA,0.5
Glendora,0,0,0,2,1,0,0,0,0,1,0,0,-100,NA,0
Hawthorne,9,5,7,6,6,6,7,5,0,3,5,8,166.7,-11.1,9.2
Hermosa Beach,0,1,0,0,0,0,1,0,0,0,0,0,NA,NA,0
Huntington Park,6,1,4,1,2,1,2,4,2,3,3,5,66.7,-16.7,9.1
Inglewood,20,13,14,14,20,7,16,13,15,2,14,17,750,-15,15.8
Irwindale,1,2,0,0,0,1,0,1,0,0,0,1,NA,0,58.8
La Verne,0,0,0,0,0,0,0,0,0,1,0,0,-100,NA,0
Long Beach,32,25,32,34,23,36,33,22,30,34,36,37,8.8,15.6,7.9
Manhattan Beach,1,0,0,0,0,0,0,0,1,0,0,0,NA,-100,0
Monrovia,0,0,0,0,1,2,0,2,2,1,2,2,100,NA,5.3
Montebello,3,1,3,2,3,3,0,2,6,0,2,0,NA,-100,0
Monterey Park,3,1,4,0,1,0,1,1,0,0,2,2,NA,-33.3,3.3
Palos Verdes Estates,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
Pasadena,3,7,5,3,10,4,2,8,7,4,7,6,50,100,4.3
Pomona,16,12,17,29,18,10,13,18,17,12,13,18,50,12.5,11.9
Redondo Beach,1,0,4,1,0,2,1,0,4,1,0,3,200,200,4.2
San Fernando,0,0,3,0,2,0,1,3,0,1,1,0,-100,NA,0
San Gabriel,0,0,0,1,1,1,0,1,0,0,0,1,NA,NA,2.5
San Marino,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
Santa Monica,1,1,2,7,0,1,2,3,7,3,1,2,-33.3,100,2.2
Sierra Madre,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
Signal Hill,0,0,1,0,1,1,0,1,0,0,0,0,NA,NA,0
South Gate,7,6,9,2,1,2,5,6,1,4,3,6,50,-14.3,6.5
South Pasadena,0,0,0,0,1,0,0,1,0,0,0,0,NA,NA,0
Torrance,4,2,4,1,2,2,1,0,2,3,3,2,-33.3,-50,1.4
Vernon,0,0,1,0,0,1,1,0,1,0,0,1,NA,NA,NA
West Covina,0,1,2,1,1,2,4,0,1,6,1,5,-16.7,NA,4.6
Santa Fe Springs,2,1,2,0,2,1,3,0,1,2,2,5,150,150,25.9
Whittier,2,4,0,3,4,1,2,5,1,1,6,7,600,250,8
