DATE OCC,AREA ,AREA NAME,Part 1-2,Crm Cd,Crm Cd Desc,DR_NO
2019,09,Van Nuys,2,660,COUNTERFEIT,6
2016,21,Topanga,2,951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",14
2018,06,Hollywood,2,762,LEWD CONDUCT,15
2013,20,Olympic,2,942,BRIBERY,1
2010,06,Hollywood,2,813,CHILD ANNOYING (17YRS & UNDER),5
2017,01,Central,2,624,BATTERY - SIMPLE ASSAULT,1651
2018,08,West LA,2,660,COUNTERFEIT,3
2017,13,Newton,2,760,LEWD/LASCIVIOUS ACTS WITH CHILD,2
2018,17,Devonshire,2,622,BATTERY ON A FIREFIGHTER,1
2017,13,Newton,2,954,CONTRIBUTING,1
2019,10,West Valley,1,480,BIKE - STOLEN,73
2015,18,Southeast,2,763,STALKING,10
2014,19,Mission,2,928,THREATENING PHONE CALLS/LETTERS,8
2019,18,Southeast,2,888,TRESPASSING,59
2018,01,Central,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),275
2019,17,Devonshire,2,661,UNAUTHORIZED COMPUTER ACCESS,10
2012,05,Harbor,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),55
2014,02,Rampart,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",201
2013,21,Topanga,2,946,OTHER MISCELLANEOUS CRIME,81
2013,18,Southeast,1,320,"BURGLARY, ATTEMPTED",81
2018,07,Wilshire,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,27
2010,06,Hollywood,1,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,4
2018,11,Northeast,1,421,THEFT FROM MOTOR VEHICLE - ATTEMPT,9
2015,06,Hollywood,2,949,ILLEGAL DUMPING,2
2018,05,Harbor,1,310,BURGLARY,654
2011,15,N Hollywood,1,761,BRANDISH WEAPON,30
2012,10,West Valley,1,480,BIKE - STOLEN,2
2011,19,Mission,2,813,CHILD ANNOYING (17YRS & UNDER),48
2019,01,Central,1,820,ORAL COPULATION,12
2012,08,West LA,2,888,TRESPASSING,126
2014,02,Rampart,1,351,PURSE SNATCHING,4
2010,17,Devonshire,2,943,CRUELTY TO ANIMALS,15
2014,10,West Valley,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,8
2013,02,Rampart,2,649,DOCUMENT FORGERY / STOLEN FELONY,123
2013,17,Devonshire,1,480,BIKE - STOLEN,75
2013,18,Southeast,1,520,VEHICLE - ATTEMPT STOLEN,11
2012,11,Northeast,1,310,BURGLARY,637
2012,19,Mission,2,940,EXTORTION,6
2014,11,Northeast,2,814,CHILD PORNOGRAPHY,1
2012,15,N Hollywood,1,220,ATTEMPTED ROBBERY,39
2017,13,Newton,2,623,BATTERY POLICE (SIMPLE),12
2019,18,Southeast,2,946,OTHER MISCELLANEOUS CRIME,78
2017,03,Southwest,1,330,BURGLARY FROM VEHICLE,870
2014,07,Wilshire,1,330,BURGLARY FROM VEHICLE,641
2010,17,Devonshire,2,654,"CREDIT CARDS, FRAUD USE ($950 & UNDER",4
2017,20,Olympic,1,520,VEHICLE - ATTEMPT STOLEN,17
2013,12,77th Street,2,763,STALKING,18
2011,05,Harbor,2,625,OTHER ASSAULT,2
2010,14,Pacific,1,443,SHOPLIFTING - ATTEMPT,1
2017,13,Newton,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,24
2016,02,Rampart,2,437,RESISTING ARREST,13
2015,09,Van Nuys,1,110,CRIMINAL HOMICIDE,8
2012,06,Hollywood,1,121,"RAPE, FORCIBLE",72
2010,16,Foothill,2,763,STALKING,11
2019,13,Newton,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),552
2013,03,Southwest,1,410,"BURGLARY FROM VEHICLE, ATTEMPTED",26
2019,01,Central,1,441,THEFT PLAIN - ATTEMPT,3
2010,01,Central,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,275
2017,10,West Valley,1,350,"THEFT, PERSON",24
2014,05,Harbor,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,9
2019,12,77th Street,1,520,VEHICLE - ATTEMPT STOLEN,14
2012,09,Van Nuys,2,755,BOMB SCARE,3
2013,20,Olympic,2,903,CONTEMPT OF COURT,1
2013,08,West LA,2,952,ABORTION/ILLEGAL,1
2017,06,Hollywood,2,661,UNAUTHORIZED COMPUTER ACCESS,45
2013,02,Rampart,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),45
2016,04,Hollenbeck,2,755,BOMB SCARE,1
2018,15,N Hollywood,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,226
2014,16,Foothill,2,662,"BUNCO, GRAND THEFT",42
2017,12,77th Street,2,762,LEWD CONDUCT,9
2015,03,Southwest,2,933,PROWLER,10
2018,06,Hollywood,2,446,PETTY THEFT - AUTO REPAIR,1
2012,12,77th Street,1,121,"RAPE, FORCIBLE",92
2018,11,Northeast,2,906,FIREARMS RESTRAINING ORDER (FIREARMS RO),1
2013,02,Rampart,2,624,BATTERY - SIMPLE ASSAULT,861
2019,04,Hollenbeck,2,653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",4
2014,06,Hollywood,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),2
2011,02,Rampart,2,624,BATTERY - SIMPLE ASSAULT,862
2019,01,Central,2,920,KIDNAPPING - GRAND ATTEMPT,3
2018,11,Northeast,1,350,"THEFT, PERSON",32
2016,07,Wilshire,2,949,ILLEGAL DUMPING,2
2015,12,77th Street,1,440,THEFT PLAIN - PETTY ($950 & UNDER),675
2010,13,Newton,2,653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",3
2018,12,77th Street,1,450,THEFT FROM PERSON - ATTEMPT,4
2011,04,Hollenbeck,2,949,ILLEGAL DUMPING,1
2017,09,Van Nuys,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,39
2015,19,Mission,1,350,"THEFT, PERSON",39
2013,09,Van Nuys,1,441,THEFT PLAIN - ATTEMPT,7
2017,12,77th Street,2,886,DISTURBING THE PEACE,7
2017,11,Northeast,1,440,THEFT PLAIN - PETTY ($950 & UNDER),620
2017,03,Southwest,1,121,"RAPE, FORCIBLE",86
2019,10,West Valley,2,660,COUNTERFEIT,3
2012,19,Mission,2,623,BATTERY POLICE (SIMPLE),13
2017,14,Pacific,2,900,VIOLATION OF COURT ORDER,85
2013,04,Hollenbeck,2,661,UNAUTHORIZED COMPUTER ACCESS,1
2018,09,Van Nuys,2,870,CHILD ABANDONMENT,1
2014,08,West LA,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",121
2018,10,West Valley,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,9
2013,03,Southwest,2,664,"BUNCO, PETTY THEFT",2
2010,19,Mission,2,932,PEEPING TOM,8
2012,09,Van Nuys,1,352,PICKPOCKET,1
2019,10,West Valley,2,814,CHILD PORNOGRAPHY,1
2010,11,Northeast,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,307
2010,09,Van Nuys,2,888,TRESPASSING,102
2015,17,Devonshire,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,5
2014,09,Van Nuys,1,110,CRIMINAL HOMICIDE,7
2015,20,Olympic,1,761,BRANDISH WEAPON,79
2015,09,Van Nuys,1,345,DISHONEST EMPLOYEE - GRAND THEFT,1
2019,11,Northeast,2,946,OTHER MISCELLANEOUS CRIME,57
2014,02,Rampart,2,901,VIOLATION OF RESTRAINING ORDER,45
2014,19,Mission,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),403
2016,08,West LA,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),489
2018,12,77th Street,1,330,BURGLARY FROM VEHICLE,772
2014,18,Southeast,1,350,"THEFT, PERSON",64
2010,19,Mission,1,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,8
2016,11,Northeast,2,940,EXTORTION,10
2013,05,Harbor,2,890,FAILURE TO YIELD,2
2013,18,Southeast,2,649,DOCUMENT FORGERY / STOLEN FELONY,91
2010,08,West LA,2,900,VIOLATION OF COURT ORDER,64
2017,13,Newton,2,932,PEEPING TOM,3
2017,14,Pacific,2,622,BATTERY ON A FIREFIGHTER,3
2016,11,Northeast,2,762,LEWD CONDUCT,9
2018,02,Rampart,2,850,INDECENT EXPOSURE,20
2014,18,Southeast,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),3
2017,07,Wilshire,2,943,CRUELTY TO ANIMALS,4
2013,09,Van Nuys,2,625,OTHER ASSAULT,12
2011,14,Pacific,2,670,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",2
2019,18,Southeast,1,320,"BURGLARY, ATTEMPTED",63
2015,03,Southwest,2,755,BOMB SCARE,4
2014,20,Olympic,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,13
2012,06,Hollywood,1,410,"BURGLARY FROM VEHICLE, ATTEMPTED",10
2019,03,Southwest,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,22
2017,09,Van Nuys,2,654,"CREDIT CARDS, FRAUD USE ($950 & UNDER",2
2018,09,Van Nuys,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,550
2010,19,Mission,2,940,EXTORTION,11
2012,08,West LA,2,951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",6
2016,14,Pacific,1,433,DRIVING WITHOUT OWNER CONSENT (DWOC),4
2015,19,Mission,2,437,RESISTING ARREST,10
2015,05,Harbor,2,654,"CREDIT CARDS, FRAUD USE ($950 & UNDER",1
2015,03,Southwest,2,660,COUNTERFEIT,4
2016,20,Olympic,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),209
2016,16,Foothill,2,623,BATTERY POLICE (SIMPLE),17
2014,05,Harbor,2,664,"BUNCO, PETTY THEFT",18
2014,17,Devonshire,2,354,THEFT OF IDENTITY,795
2010,05,Harbor,1,410,"BURGLARY FROM VEHICLE, ATTEMPTED",24
2019,21,Topanga,2,932,PEEPING TOM,2
2012,02,Rampart,1,820,ORAL COPULATION,8
2017,03,Southwest,2,903,CONTEMPT OF COURT,5
2011,04,Hollenbeck,2,647,THROWING OBJECT AT MOVING VEHICLE,4
2012,14,Pacific,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,2
2015,09,Van Nuys,2,437,RESISTING ARREST,9
2016,17,Devonshire,2,649,DOCUMENT FORGERY / STOLEN FELONY,223
2013,11,Northeast,2,763,STALKING,13
2011,06,Hollywood,1,761,BRANDISH WEAPON,19
2012,20,Olympic,2,922,CHILD STEALING,2
2015,14,Pacific,2,664,"BUNCO, PETTY THEFT",33
2017,03,Southwest,2,942,BRIBERY,1
2014,04,Hollenbeck,2,951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",6
2018,15,N Hollywood,1,320,"BURGLARY, ATTEMPTED",49
2015,08,West LA,2,624,BATTERY - SIMPLE ASSAULT,775
2015,02,Rampart,2,900,VIOLATION OF COURT ORDER,76
2019,14,Pacific,2,237,CHILD NEGLECT (SEE 300 W.I.C.),9
2018,13,Newton,2,949,ILLEGAL DUMPING,1
2016,04,Hollenbeck,2,813,CHILD ANNOYING (17YRS & UNDER),47
2018,15,N Hollywood,2,902,VIOLATION OF TEMPORARY RESTRAINING ORDER,3
2019,13,Newton,2,931,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)",1
2018,01,Central,2,651,DOCUMENT WORTHLESS ($200.01 & OVER),3
2015,06,Hollywood,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,72
2013,20,Olympic,2,928,THREATENING PHONE CALLS/LETTERS,39
2014,19,Mission,2,946,OTHER MISCELLANEOUS CRIME,95
2013,14,Pacific,1,441,THEFT PLAIN - ATTEMPT,3
2019,21,Topanga,1,320,"BURGLARY, ATTEMPTED",68
2014,03,Southwest,2,860,BATTERY WITH SEXUAL CONTACT,73
2016,11,Northeast,2,949,ILLEGAL DUMPING,2
2018,13,Newton,1,510,VEHICLE - STOLEN,1171
2019,05,Harbor,2,237,CHILD NEGLECT (SEE 300 W.I.C.),23
2016,08,West LA,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),274
2015,07,Wilshire,1,410,"BURGLARY FROM VEHICLE, ATTEMPTED",2
2019,09,Van Nuys,2,653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",4
2017,11,Northeast,1,250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",2
2012,13,Newton,2,624,BATTERY - SIMPLE ASSAULT,1020
2019,21,Topanga,1,474,"THEFT, COIN MACHINE - PETTY ($950 & UNDER)",1
2012,03,Southwest,2,753,DISCHARGE FIREARMS/SHOTS FIRED,13
2018,20,Olympic,2,237,CHILD NEGLECT (SEE 300 W.I.C.),16
2010,17,Devonshire,1,480,BIKE - STOLEN,11
2014,09,Van Nuys,1,122,"RAPE, ATTEMPTED",1
2012,01,Central,2,760,LEWD/LASCIVIOUS ACTS WITH CHILD,1
2011,18,Southeast,2,902,VIOLATION OF TEMPORARY RESTRAINING ORDER,12
2010,12,77th Street,2,649,DOCUMENT FORGERY / STOLEN FELONY,78
2019,20,Olympic,2,901,VIOLATION OF RESTRAINING ORDER,96
2011,07,Wilshire,1,330,BURGLARY FROM VEHICLE,860
2018,08,West LA,2,933,PROWLER,7
2012,13,Newton,1,330,BURGLARY FROM VEHICLE,760
2010,19,Mission,2,951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",5
2012,09,Van Nuys,2,922,CHILD STEALING,3
2017,05,Harbor,2,651,DOCUMENT WORTHLESS ($200.01 & OVER),6
2010,11,Northeast,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,6
2010,09,Van Nuys,2,664,"BUNCO, PETTY THEFT",1
2011,06,Hollywood,2,850,INDECENT EXPOSURE,14
2013,06,Hollywood,2,624,BATTERY - SIMPLE ASSAULT,975
2015,16,Foothill,2,763,STALKING,11
2016,12,77th Street,2,760,LEWD/LASCIVIOUS ACTS WITH CHILD,3
2010,15,N Hollywood,1,220,ATTEMPTED ROBBERY,42
2015,07,Wilshire,2,922,CHILD STEALING,6
2011,13,Newton,1,250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",2
2014,19,Mission,1,110,CRIMINAL HOMICIDE,14
2013,06,Hollywood,2,888,TRESPASSING,173
2017,09,Van Nuys,2,910,KIDNAPPING,7
2010,06,Hollywood,2,902,VIOLATION OF TEMPORARY RESTRAINING ORDER,2
2014,09,Van Nuys,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),257
2019,08,West LA,2,949,ILLEGAL DUMPING,2
2013,13,Newton,1,471,TILL TAP - PETTY ($950 & UNDER),1
2013,01,Central,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",323
2012,10,West Valley,1,510,VEHICLE - STOLEN,490
2016,07,Wilshire,1,444,DISHONEST EMPLOYEE - PETTY THEFT,1
2017,14,Pacific,2,860,BATTERY WITH SEXUAL CONTACT,97
2015,10,West Valley,1,220,ATTEMPTED ROBBERY,20
2013,09,Van Nuys,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",479
2016,06,Hollywood,2,902,VIOLATION OF TEMPORARY RESTRAINING ORDER,5
2014,07,Wilshire,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,8
2010,10,West Valley,2,946,OTHER MISCELLANEOUS CRIME,101
2016,08,West LA,2,950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",1
2017,18,Southeast,2,624,BATTERY - SIMPLE ASSAULT,1046
2010,14,Pacific,2,813,CHILD ANNOYING (17YRS & UNDER),18
2017,18,Southeast,1,480,BIKE - STOLEN,2
2010,08,West LA,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),124
2011,15,N Hollywood,2,928,THREATENING PHONE CALLS/LETTERS,41
2015,12,77th Street,2,439,FALSE POLICE REPORT,9
2015,20,Olympic,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,44
2012,05,Harbor,2,813,CHILD ANNOYING (17YRS & UNDER),60
2015,13,Newton,2,434,FALSE IMPRISONMENT,5
2017,06,Hollywood,1,310,BURGLARY,453
2014,13,Newton,1,352,PICKPOCKET,3
2010,20,Olympic,2,237,CHILD NEGLECT (SEE 300 W.I.C.),41
2019,21,Topanga,2,660,COUNTERFEIT,5
2011,07,Wilshire,2,932,PEEPING TOM,6
2012,12,77th Street,2,806,PANDERING,3
2011,01,Central,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,3
2011,01,Central,1,351,PURSE SNATCHING,9
2011,15,N Hollywood,2,932,PEEPING TOM,12
2011,15,N Hollywood,1,440,THEFT PLAIN - PETTY ($950 & UNDER),890
2018,02,Rampart,2,647,THROWING OBJECT AT MOVING VEHICLE,9
2014,12,77th Street,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",52
2013,12,77th Street,1,443,SHOPLIFTING - ATTEMPT,1
2010,15,N Hollywood,1,820,ORAL COPULATION,10
2018,11,Northeast,2,946,OTHER MISCELLANEOUS CRIME,72
2010,09,Van Nuys,1,210,ROBBERY,247
2018,09,Van Nuys,2,950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",1
2016,03,Southwest,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),610
2018,12,77th Street,2,920,KIDNAPPING - GRAND ATTEMPT,8
2012,13,Newton,1,520,VEHICLE - ATTEMPT STOLEN,14
2019,01,Central,2,860,BATTERY WITH SEXUAL CONTACT,137
2010,07,Wilshire,2,946,OTHER MISCELLANEOUS CRIME,158
2012,11,Northeast,1,122,"RAPE, ATTEMPTED",3
2016,05,Harbor,1,761,BRANDISH WEAPON,134
2010,08,West LA,2,660,COUNTERFEIT,1
2017,07,Wilshire,1,351,PURSE SNATCHING,8
2011,08,West LA,1,443,SHOPLIFTING - ATTEMPT,1
2017,21,Topanga,2,806,PANDERING,2
2010,08,West LA,1,820,ORAL COPULATION,4
2011,02,Rampart,2,755,BOMB SCARE,6
2019,08,West LA,2,753,DISCHARGE FIREARMS/SHOTS FIRED,2
2011,19,Mission,2,753,DISCHARGE FIREARMS/SHOTS FIRED,31
2019,13,Newton,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",648
2011,05,Harbor,1,410,"BURGLARY FROM VEHICLE, ATTEMPTED",42
2019,02,Rampart,2,664,"BUNCO, PETTY THEFT",44
2016,21,Topanga,2,237,CHILD NEGLECT (SEE 300 W.I.C.),17
2010,13,Newton,1,470,TILL TAP - GRAND THEFT ($950.01 & OVER),1
2019,04,Hollenbeck,2,354,THEFT OF IDENTITY,258
2014,10,West Valley,1,121,"RAPE, FORCIBLE",38
2017,18,Southeast,2,354,THEFT OF IDENTITY,314
2015,14,Pacific,2,901,VIOLATION OF RESTRAINING ORDER,55
2019,06,Hollywood,2,900,VIOLATION OF COURT ORDER,46
2013,06,Hollywood,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",5
2018,05,Harbor,2,666,"BUNCO, ATTEMPT",10
2019,06,Hollywood,2,437,RESISTING ARREST,22
2017,21,Topanga,2,664,"BUNCO, PETTY THEFT",48
2013,02,Rampart,2,886,DISTURBING THE PEACE,4
2011,01,Central,2,951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",19
2016,03,Southwest,1,441,THEFT PLAIN - ATTEMPT,11
2011,12,77th Street,1,310,BURGLARY,1166
2018,10,West Valley,2,949,ILLEGAL DUMPING,3
2018,03,Southwest,1,122,"RAPE, ATTEMPTED",8
2017,14,Pacific,1,330,BURGLARY FROM VEHICLE,1057
2013,07,Wilshire,2,666,"BUNCO, ATTEMPT",1
2014,19,Mission,2,654,"CREDIT CARDS, FRAUD USE ($950 & UNDER",2
2012,15,N Hollywood,1,310,BURGLARY,770
2013,16,Foothill,1,251,SHOTS FIRED AT INHABITED DWELLING,9
2010,03,Southwest,2,662,"BUNCO, GRAND THEFT",10
2016,15,N Hollywood,1,210,ROBBERY,264
2014,13,Newton,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",408
2014,07,Wilshire,2,622,BATTERY ON A FIREFIGHTER,2
2017,05,Harbor,2,901,VIOLATION OF RESTRAINING ORDER,169
2014,05,Harbor,1,251,SHOTS FIRED AT INHABITED DWELLING,9
2016,06,Hollywood,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),179
2016,17,Devonshire,2,647,THROWING OBJECT AT MOVING VEHICLE,9
2017,02,Rampart,2,865,"DRUGS, TO A MINOR",2
2017,14,Pacific,2,850,INDECENT EXPOSURE,15
2018,14,Pacific,2,434,FALSE IMPRISONMENT,2
2010,05,Harbor,2,949,ILLEGAL DUMPING,4
2019,13,Newton,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",54
2015,02,Rampart,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",10
2011,16,Foothill,1,520,VEHICLE - ATTEMPT STOLEN,18
2010,21,Topanga,1,820,ORAL COPULATION,7
2018,07,Wilshire,2,662,"BUNCO, GRAND THEFT",86
2012,20,Olympic,2,625,OTHER ASSAULT,18
2016,19,Mission,2,660,COUNTERFEIT,1
2019,16,Foothill,2,622,BATTERY ON A FIREFIGHTER,2
2012,17,Devonshire,1,220,ATTEMPTED ROBBERY,16
2011,08,West LA,1,350,"THEFT, PERSON",21
2012,06,Hollywood,1,351,PURSE SNATCHING,12
2014,11,Northeast,2,354,THEFT OF IDENTITY,628
2017,09,Van Nuys,2,653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",3
2014,12,77th Street,2,932,PEEPING TOM,8
2018,10,West Valley,2,654,"CREDIT CARDS, FRAUD USE ($950 & UNDER",2
2011,16,Foothill,1,820,ORAL COPULATION,4
2012,19,Mission,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,11
2016,03,Southwest,1,474,"THEFT, COIN MACHINE - PETTY ($950 & UNDER)",4
2013,05,Harbor,2,624,BATTERY - SIMPLE ASSAULT,576
2011,13,Newton,2,763,STALKING,4
2010,05,Harbor,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),73
2019,20,Olympic,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),502
2016,04,Hollenbeck,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",8
2010,09,Van Nuys,2,237,CHILD NEGLECT (SEE 300 W.I.C.),39
2010,02,Rampart,2,943,CRUELTY TO ANIMALS,5
2016,05,Harbor,2,850,INDECENT EXPOSURE,14
2013,03,Southwest,1,433,DRIVING WITHOUT OWNER CONSENT (DWOC),3
2014,20,Olympic,2,950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",1
2012,16,Foothill,2,670,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",2
2019,15,N Hollywood,2,888,TRESPASSING,208
2012,03,Southwest,2,860,BATTERY WITH SEXUAL CONTACT,66
2016,21,Topanga,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,6
2016,05,Harbor,2,901,VIOLATION OF RESTRAINING ORDER,210
2010,20,Olympic,1,421,THEFT FROM MOTOR VEHICLE - ATTEMPT,5
2016,10,West Valley,2,624,BATTERY - SIMPLE ASSAULT,594
2010,12,77th Street,1,410,"BURGLARY FROM VEHICLE, ATTEMPTED",21
2019,20,Olympic,2,625,OTHER ASSAULT,49
2011,11,Northeast,1,433,DRIVING WITHOUT OWNER CONSENT (DWOC),3
2017,05,Harbor,2,661,UNAUTHORIZED COMPUTER ACCESS,4
2013,21,Topanga,2,435,LYNCHING,1
2015,15,N Hollywood,1,320,"BURGLARY, ATTEMPTED",64
2017,07,Wilshire,1,121,"RAPE, FORCIBLE",39
2011,20,Olympic,2,946,OTHER MISCELLANEOUS CRIME,119
2013,19,Mission,2,951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",10
2015,21,Topanga,1,443,SHOPLIFTING - ATTEMPT,4
2014,10,West Valley,2,664,"BUNCO, PETTY THEFT",33
2012,08,West LA,2,756,WEAPONS POSSESSION/BOMBING,1
2013,11,Northeast,2,647,THROWING OBJECT AT MOVING VEHICLE,4
2017,16,Foothill,1,220,ATTEMPTED ROBBERY,34
2015,10,West Valley,2,446,PETTY THEFT - AUTO REPAIR,1
2016,15,N Hollywood,1,440,THEFT PLAIN - PETTY ($950 & UNDER),741
2016,17,Devonshire,1,320,"BURGLARY, ATTEMPTED",81
2013,21,Topanga,2,886,DISTURBING THE PEACE,25
2016,08,West LA,1,320,"BURGLARY, ATTEMPTED",83
2013,13,Newton,2,762,LEWD CONDUCT,4
2010,04,Hollenbeck,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,275
