"LURN_SAK","INCIDENT_DATE","INCIDENT_REPORTED_DATE","CATEGORY","STAT","STAT_DESC","ADDRESS","STREET","CITY","ZIP","INCIDENT_ID","REPORTING_DISTRICT","SEQ","GANG_RELATED","UNIT_ID","UNIT_NAME","LONGITUDE","LATITUDE","PART_CATEGORY"
20076856,"11/11/2022 03:30:00 PM","11/11/2022","OFFENSES AGAINST FAMILY","175","OFFENSES AGAINST FAMILY: Domestic Violence (Other than Phys Assault)","1700 E AVENUE J, LANCASTER, CA","1700 E AVENUE J","LANCASTER",,"022-19435-1135","1135","19435","NO","CA0190024","LANCASTER",-118.098,34.69,2
20078715,"11/14/2022 11:40:00 AM","11/14/2022","NARCOTICS","185","Misdemeanor Possessn of a Controlled Substance (excluding Marijuana)","24800 PICO CYN RD, NEWHALL, CA","24800 PICO CYN RD","NEWHALL",,"922-16104-0664","0664","16104","NO","CA0190006","SANTA CLARITA VALLEY",-118.57,34.38,2
20078092,"11/12/2022 10:00:00 PM","11/13/2022","GRAND THEFT AUTO","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","4300 W AVENUE A, LANCASTER, CA","4300 W AVENUE A","LANCASTER",,"922-19529-1186","1186","19529","NO","CA0190024","LANCASTER",-118.209,34.819,1
20076031,"11/08/2022 09:00:00 PM","11/10/2022","FRAUD AND NSF CHECKS","112","FRAUD: Fraud By False Pretenses","14600 GALE AVE, HACIENDA HEIGHTS, CA 91745","14600 GALE AVE","HACIENDA HEIGHTS","91745","922-12744-1478","1478","12744","NO","CA0190014","INDUSTRY",-117.987,34.019,2
20069520,"11/04/2022 12:40:00 AM","11/03/2022","GRAND THEFT AUTO","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van",,,,,"922-13328-0454","0454","13328","NO","CA0190004","NORWALK",,,1
20071082,"11/04/2022 06:54:00 PM","11/04/2022","MISDEMEANORS MISCELLANEOUS","399","MISDEMEANORS, MISCELLANEOUS: All Other Misdemeanors","26200 ADAMOR RD, CALABASAS, CA","26200 ADAMOR RD","CALABASAS",,"922-06187-2243","2243","06187","NO","CA0190022","MALIBU/LOST HILLS",-118.698,34.163,2
20073232,"11/07/2022 04:32:16 PM","11/07/2022","NARCOTICS","185","Misdemeanor Possessn of a Controlled Substance (excluding Marijuana)","5200 VIA CORONA, LOS ANGELES, CA 90022","5200 VIA CORONA","LOS ANGELES","90022","922-16733-0285","0285","16733","NO","CA0190002","EAST LOS ANGELES",-118.152,34.03,2
20070948,"11/02/2022 08:40:30 AM","11/04/2022","FRAUD AND NSF CHECKS","112","FRAUD: Fraud By False Pretenses","2400 LA PRESA AVE, ROSEMEAD, CA 91770","2400 LA PRESA AVE","ROSEMEAD","91770","922-12585-0534","0534","12585","NO","CA0190005","TEMPLE",-118.08,34.057,2
20075270,"11/09/2022 05:24:57 PM","11/09/2022","LARCENY THEFT","083","GRAND THEFT: Shoplifting (From Dept Store, Mkt Gas Sta)",,,,,"922-17026-2171","2171","17026","NO","CA01900V3","CENTURY",,,1
20069291,"11/02/2022 10:14:00 PM","11/02/2022","WEAPON LAWS","152","WEAPON LAWS: Misdemeanor","9000 WHITTIER BLVD, PICO RIVERA, CA 90660","9000 WHITTIER BLVD","PICO RIVERA","90660","922-06826-1514","1514","06826","NO","CA0190015","PICO RIVERA",-118.083,34,2
